Year,Month,Neighborhood,Total ,Homicide,Rape,Robbery,AggAssault,Burglary,Larceny,AutoTheft,Arson
2016,1,CedarRiverside,31,0,0,4,1,1,16,9,0
2016,2,CedarRiverside,27,0,1,3,0,1,16,6,0
2016,3,CedarRiverside,27,0,1,1,6,3,13,3,0
2016,4,CedarRiverside,36,0,1,2,5,8,17,3,0
2016,5,CedarRiverside,37,0,0,1,7,6,17,6,0
2016,6,CedarRiverside,25,0,1,0,7,2,14,1,0
2016,7,CedarRiverside,43,0,1,4,3,2,30,2,1
2016,8,CedarRiverside,43,0,1,6,6,1,26,3,0
2016,9,CedarRiverside,29,0,0,1,2,1,20,5,0
2016,10,CedarRiverside,34,0,0,4,4,0,22,4,1
2016,11,CedarRiverside,26,0,0,4,2,1,13,6,0
2016,12,CedarRiverside,17,0,0,1,4,0,8,4,0
2016,1,Como,23,0,0,5,2,5,7,4,0
2016,2,Como,18,0,0,0,1,10,6,1,0
2016,3,Como,30,0,0,0,4,11,15,0,0
2016,4,Como,20,0,0,0,1,6,12,1,0
2016,5,Como,17,0,0,0,1,7,8,1,0
2016,6,Como,19,0,0,1,1,10,4,3,0
2016,7,Como,23,0,2,1,2,4,13,1,0
2016,8,Como,18,0,0,0,0,8,9,1,0
2016,9,Como,34,0,0,1,5,7,16,5,0
2016,10,Como,43,0,2,2,2,3,22,12,0
2016,11,Como,35,0,1,0,2,9,18,5,0
2016,12,Como,35,0,0,0,0,7,15,13,0
2016,1,MarcyHolmes,40,1,0,5,4,6,22,2,0
2016,2,MarcyHolmes,20,0,0,0,0,2,17,1,0
2016,3,MarcyHolmes,37,0,1,3,1,4,21,7,0
2016,4,MarcyHolmes,55,0,1,2,0,13,35,4,0
2016,5,MarcyHolmes,50,0,1,1,1,9,36,3,0
2016,6,MarcyHolmes,54,0,1,2,3,6,38,4,0
2016,7,MarcyHolmes,63,0,3,2,0,6,44,8,0
2016,8,MarcyHolmes,72,0,0,3,1,15,49,4,0
2016,9,MarcyHolmes,58,0,3,5,2,9,33,6,0
2016,10,MarcyHolmes,80,0,1,2,4,14,52,7,0
2016,11,MarcyHolmes,46,0,0,6,1,8,28,3,0
2016,12,MarcyHolmes,49,0,1,2,2,6,31,7,0
2016,1,ProspectPark,28,0,0,4,0,7,15,2,0
2016,2,ProspectPark,16,0,0,1,0,1,10,4,0
2016,3,ProspectPark,23,0,0,3,1,6,10,3,0
2016,4,ProspectPark,26,0,3,2,0,1,17,3,0
2016,5,ProspectPark,26,0,3,2,0,1,17,3,0
2016,6,ProspectPark,34,0,2,0,3,2,24,3,0
2016,7,ProspectPark,22,0,0,0,2,5,14,0,1
2016,8,ProspectPark,21,1,0,0,1,2,15,2,0
2016,9,ProspectPark,39,0,0,3,1,2,29,4,0
2016,10,ProspectPark,34,0,0,2,1,2,27,2,0
2016,11,ProspectPark,44,0,1,3,1,6,31,2,0
2016,12,ProspectPark,25,0,0,0,0,2,16,7,0
2016,1,UofM,10,0,0,0,0,6,4,0,0
2016,2,UofM,11,0,0,0,0,4,7,0,0
2016,3,UofM,6,0,0,0,0,1,4,1,0
2016,4,UofM,8,0,1,0,0,0,7,0,0
2016,5,UofM,8,0,0,0,0,1,6,1,0
2016,6,UofM,9,0,0,0,0,0,8,1,0
2016,7,UofM,12,0,0,1,0,3,8,0,0
2016,8,UofM,12,1,0,1,0,0,10,0,0
2016,9,UofM,14,0,1,0,0,1,12,0,0
2016,10,UofM,24,0,0,0,1,2,19,2,0
2016,11,UofM,9,0,0,0,1,1,7,0,0
2016,12,UofM,10,0,0,0,2,1,7,0,0
