Year,Month,Neighborhood,Total ,Homicide,Rape,Robbery,AggAssault,Burglary,Larceny,AutoTheft,Arson,UofM
2016,1,Armatage,4,0,0,0,0,3,0,1,0,No
2016,2,Armatage,2,0,0,0,0,2,0,0,0,No
2016,3,Armatage,3,0,0,0,0,0,3,0,0,No
2016,4,Armatage,7,0,0,0,0,0,6,1,0,No
2016,5,Armatage,3,0,0,0,0,0,3,0,0,No
2016,6,Armatage,10,0,0,1,0,3,5,1,0,No
2016,7,Armatage,5,0,0,0,1,1,3,0,0,No
2016,8,Armatage,8,0,0,0,0,1,6,1,0,No
2016,9,Armatage,8,0,0,0,1,2,5,0,0,No
2016,10,Armatage,6,0,0,0,1,4,1,0,0,No
2016,11,Armatage,11,0,0,0,0,0,9,2,0,No
2016,12,Armatage,9,0,0,1,1,1,5,1,0,No
2016,1,Field,7,0,0,0,0,4,2,1,0,No
2016,2,Field,6,0,0,0,1,0,5,0,0,No
2016,3,Field,8,0,0,0,1,3,4,0,0,No
2016,4,Field,8,0,0,0,0,6,2,0,0,No
2016,5,Field,5,0,0,0,1,0,3,0,1,No
2016,6,Field,10,0,0,0,0,4,5,1,0,No
2016,7,Field,11,0,0,1,0,1,8,1,0,No
2016,8,Field,7,0,0,0,0,2,5,0,0,No
2016,9,Field,9,0,0,2,0,3,4,0,0,No
2016,10,Field,4,0,0,0,0,3,1,0,0,No
2016,11,Field,5,0,0,0,0,1,4,0,0,No
2016,12,Field,7,0,0,0,0,2,3,1,1,No
2016,1,Folwell,33,0,1,4,9,5,7,7,0,No
2016,2,Folwell,25,0,1,4,2,5,10,3,0,No
2016,3,Folwell,35,0,1,7,7,4,11,5,0,No
2016,4,Folwell,33,0,1,7,10,3,9,2,1,No
2016,5,Folwell,46,0,2,3,20,7,10,3,1,No
2016,6,Folwell,31,1,1,5,3,8,7,4,2,No
2016,7,Folwell,38,0,1,4,10,3,15,5,0,No
2016,8,Folwell,37,1,2,7,5,1,16,4,1,No
2016,9,Folwell,40,0,1,9,4,8,15,3,0,No
2016,10,Folwell,32,1,0,4,8,3,13,2,1,No
2016,11,Folwell,38,0,0,2,7,10,16,3,0,No
2016,12,Folwell,28,0,1,4,9,5,3,5,1,No
2016,1,Holland,17,0,0,2,2,3,6,4,0,No
2016,2,Holland,13,0,1,0,2,1,8,1,0,No
2016,3,Holland,10,0,0,3,1,1,5,0,0,No
2016,4,Holland,17,0,0,2,3,7,4,1,0,No
2016,5,Holland,17,0,1,1,1,3,9,2,0,No
2016,6,Holland,24,0,1,1,4,2,14,2,0,No
2016,7,Holland,22,0,1,0,2,4,14,1,0,No
2016,8,Holland,14,0,0,4,0,3,4,2,1,No
2016,9,Holland,19,0,1,2,1,6,6,3,0,No
2016,10,Holland,19,0,0,4,2,0,10,3,0,No
2016,11,Holland,14,0,0,1,1,4,7,1,0,No
2016,12,Holland,18,0,0,2,1,2,9,4,0,No
2016,1,Howe,12,0,0,0,0,4,5,3,0,No
2016,2,Howe,13,0,0,0,2,4,3,3,1,No
2016,3,Howe,15,0,0,1,0,3,10,1,0,No
2016,4,Howe,16,0,0,3,0,3,8,2,0,No
2016,5,Howe,25,0,0,0,2,7,14,2,0,No
2016,6,Howe,13,0,0,0,0,4,7,2,0,No
2016,7,Howe,16,0,0,0,0,6,9,1,0,No
2016,8,Howe,21,0,1,2,3,10,4,1,0,No
2016,9,Howe,32,0,0,5,3,11,9,4,0,No
2016,10,Howe,30,0,1,1,3,11,13,1,0,No
2016,11,Howe,15,0,0,1,2,2,5,5,0,No
2016,12,Howe,16,0,0,0,2,3,6,5,0,No
2016,1,Kenwood,3,0,0,0,0,0,3,0,0,No
2016,2,Kenwood,1,0,0,0,0,0,1,0,0,No
2016,3,Kenwood,1,0,0,0,0,0,1,0,0,No
2016,4,Kenwood,3,0,0,0,0,0,2,1,0,No
2016,5,Kenwood,4,0,0,0,0,0,4,0,0,No
2016,6,Kenwood,2,0,1,1,0,0,0,0,0,No
2016,7,Kenwood,6,0,0,0,1,0,3,2,0,No
2016,8,Kenwood,5,0,0,0,1,0,4,0,0,No
2016,9,Kenwood,3,0,0,0,0,2,1,0,0,No
2016,10,Kenwood,8,0,0,0,0,1,7,0,0,No
2016,11,Kenwood,2,0,0,0,0,0,2,0,0,No
2016,12,Kenwood,2,0,0,0,0,0,2,0,0,No
2016,1,Loring Park,33,0,1,0,3,6,19,4,0,No
2016,2,Loring Park,18,0,1,0,3,3,11,0,0,No
2016,3,Loring Park,39,0,1,4,4,1,25,4,0,No
2016,4,Loring Park,33,0,1,1,3,3,23,2,0,No
2016,5,Loring Park,55,0,2,6,3,1,39,4,0,No
2016,6,Loring Park,50,0,0,1,4,2,39,4,0,No
2016,7,Loring Park,52,0,0,6,6,0,35,5,0,No
2016,8,Loring Park,50,0,4,7,2,4,31,1,1,No
2016,9,Loring Park,51,0,0,1,5,3,41,1,0,No
2016,10,Loring Park,53,0,0,9,4,2,36,2,0,No
2016,11,Loring Park,44,0,1,2,4,7,26,4,0,No
2016,12,Loring Park,23,0,0,2,3,2,16,0,0,No
2016,1,Midtown Phillips,26,0,0,3,3,2,11,7,0,No
2016,2,Midtown Phillips,23,0,0,3,3,4,8,5,0,No
2016,3,Midtown Phillips,29,0,1,2,2,8,14,2,0,No
2016,4,Midtown Phillips,25,0,1,3,3,5,11,2,0,No
2016,5,Midtown Phillips,48,0,1,7,10,6,21,3,0,No
2016,6,Midtown Phillips,47,0,1,7,6,8,21,4,0,No
2016,7,Midtown Phillips,40,0,1,5,2,9,19,3,1,No
2016,8,Midtown Phillips,53,0,2,5,6,16,18,5,1,No
2016,9,Midtown Phillips,53,0,0,6,5,7,25,10,0,No
2016,10,Midtown Phillips,38,2,1,5,2,7,18,3,0,No
2016,11,Midtown Phillips,42,0,1,11,2,4,14,10,0,No
2016,12,Midtown Phillips,36,0,1,3,5,4,15,8,0,No
2016,1,Near North,41,0,1,2,9,6,17,6,0,No
2016,2,Near North,35,0,1,3,5,3,16,7,0,No
2016,3,Near North,44,0,4,4,4,2,25,5,0,No
2016,4,Near North,67,0,0,7,17,7,33,3,0,No
2016,5,Near North,67,1,1,6,9,8,36,6,0,No
2016,6,Near North,53,0,1,4,14,4,28,2,0,No
2016,7,Near North,56,1,1,4,9,6,31,4,0,No
2016,8,Near North,73,0,3,8,11,5,39,7,0,No
2016,9,Near North,57,0,0,3,7,3,37,7,0,No
2016,10,Near North,49,0,1,7,5,2,28,6,0,No
2016,11,Near North,54,0,1,2,17,7,24,3,0,No
2016,12,Near North,51,0,2,6,9,2,25,7,0,No
2016,1,Powderhorn Park,37,0,1,4,2,11,13,6,0,No
2016,2,Powderhorn Park,25,0,0,3,1,5,12,4,0,No
2016,3,Powderhorn Park,42,0,0,12,3,9,16,2,0,No
2016,4,Powderhorn Park,37,0,1,7,4,10,11,4,0,No
2016,5,Powderhorn Park,33,0,0,4,4,7,14,4,0,No
2016,6,Powderhorn Park,41,0,2,9,2,6,19,2,1,No
2016,7,Powderhorn Park,59,0,1,4,8,19,19,8,0,No
2016,8,Powderhorn Park,44,0,0,7,4,15,15,2,1,No
2016,9,Powderhorn Park,60,0,1,4,3,13,29,9,1,No
2016,10,Powderhorn Park,65,0,1,11,6,13,25,9,0,No
2016,11,Powderhorn Park,45,0,0,9,4,11,18,3,0,No
2016,12,Powderhorn Park,51,0,0,10,2,10,19,9,1,No
2016,1,CedarRiverside,31,0,0,4,1,1,16,9,0,Yes
2016,2,CedarRiverside,27,0,1,3,0,1,16,6,0,Yes
2016,3,CedarRiverside,27,0,1,1,6,3,13,3,0,Yes
2016,4,CedarRiverside,36,0,1,2,5,8,17,3,0,Yes
2016,5,CedarRiverside,37,0,0,1,7,6,17,6,0,Yes
2016,6,CedarRiverside,25,0,1,0,7,2,14,1,0,Yes
2016,7,CedarRiverside,43,0,1,4,3,2,30,2,1,Yes
2016,8,CedarRiverside,43,0,1,6,6,1,26,3,0,Yes
2016,9,CedarRiverside,29,0,0,1,2,1,20,5,0,Yes
2016,10,CedarRiverside,34,0,0,4,4,0,22,4,1,Yes
2016,11,CedarRiverside,26,0,0,4,2,1,13,6,0,Yes
2016,12,CedarRiverside,17,0,0,1,4,0,8,4,0,Yes
2016,1,Como,23,0,0,5,2,5,7,4,0,Yes
2016,2,Como,18,0,0,0,1,10,6,1,0,Yes
2016,3,Como,30,0,0,0,4,11,15,0,0,Yes
2016,4,Como,20,0,0,0,1,6,12,1,0,Yes
2016,5,Como,17,0,0,0,1,7,8,1,0,Yes
2016,6,Como,19,0,0,1,1,10,4,3,0,Yes
2016,7,Como,23,0,2,1,2,4,13,1,0,Yes
2016,8,Como,18,0,0,0,0,8,9,1,0,Yes
2016,9,Como,34,0,0,1,5,7,16,5,0,Yes
2016,10,Como,43,0,2,2,2,3,22,12,0,Yes
2016,11,Como,35,0,1,0,2,9,18,5,0,Yes
2016,12,Como,35,0,0,0,0,7,15,13,0,Yes
2016,1,MarcyHolmes,40,1,0,5,4,6,22,2,0,Yes
2016,2,MarcyHolmes,20,0,0,0,0,2,17,1,0,Yes
2016,3,MarcyHolmes,37,0,1,3,1,4,21,7,0,Yes
2016,4,MarcyHolmes,55,0,1,2,0,13,35,4,0,Yes
2016,5,MarcyHolmes,50,0,1,1,1,9,36,3,0,Yes
2016,6,MarcyHolmes,54,0,1,2,3,6,38,4,0,Yes
2016,7,MarcyHolmes,63,0,3,2,0,6,44,8,0,Yes
2016,8,MarcyHolmes,72,0,0,3,1,15,49,4,0,Yes
2016,9,MarcyHolmes,58,0,3,5,2,9,33,6,0,Yes
2016,10,MarcyHolmes,80,0,1,2,4,14,52,7,0,Yes
2016,11,MarcyHolmes,46,0,0,6,1,8,28,3,0,Yes
2016,12,MarcyHolmes,49,0,1,2,2,6,31,7,0,Yes
2016,1,ProspectPark,28,0,0,4,0,7,15,2,0,Yes
2016,2,ProspectPark,16,0,0,1,0,1,10,4,0,Yes
2016,3,ProspectPark,23,0,0,3,1,6,10,3,0,Yes
2016,4,ProspectPark,26,0,3,2,0,1,17,3,0,Yes
2016,5,ProspectPark,26,0,3,2,0,1,17,3,0,Yes
2016,6,ProspectPark,34,0,2,0,3,2,24,3,0,Yes
2016,7,ProspectPark,22,0,0,0,2,5,14,0,1,Yes
2016,8,ProspectPark,21,1,0,0,1,2,15,2,0,Yes
2016,9,ProspectPark,39,0,0,3,1,2,29,4,0,Yes
2016,10,ProspectPark,34,0,0,2,1,2,27,2,0,Yes
2016,11,ProspectPark,44,0,1,3,1,6,31,2,0,Yes
2016,12,ProspectPark,25,0,0,0,0,2,16,7,0,Yes
2016,1,UofM,10,0,0,0,0,6,4,0,0,Yes
2016,2,UofM,11,0,0,0,0,4,7,0,0,Yes
2016,3,UofM,6,0,0,0,0,1,4,1,0,Yes
2016,4,UofM,8,0,1,0,0,0,7,0,0,Yes
2016,5,UofM,8,0,0,0,0,1,6,1,0,Yes
2016,6,UofM,9,0,0,0,0,0,8,1,0,Yes
2016,7,UofM,12,0,0,1,0,3,8,0,0,Yes
2016,8,UofM,12,1,0,1,0,0,10,0,0,Yes
2016,9,UofM,14,0,1,0,0,1,12,0,0,Yes
2016,10,UofM,24,0,0,0,1,2,19,2,0,Yes
2016,11,UofM,9,0,0,0,1,1,7,0,0,Yes
2016,12,UofM,10,0,0,0,2,1,7,0,0,Yes
