PType,BevPref
Extrovert,Coffee
Extrovert,Coffee
Extrovert,Coffee
Extrovert,Coffee
Extrovert,Coffee
Extrovert,Coffee
Extrovert,Coffee
Extrovert,Coffee
Extrovert,Coffee
Extrovert,Coffee
Extrovert,Coffee
Extrovert,Coffee
Extrovert,Coffee
Extrovert,Coffee
Extrovert,Coffee
Extrovert,Coffee
Extrovert,Coffee
Extrovert,Coffee
Extrovert,Coffee
Extrovert,Coffee
Extrovert,Coffee
Extrovert,Coffee
Extrovert,Coffee
Extrovert,Coffee
Extrovert,Coffee
Extrovert,Coffee
Extrovert,Tea
Extrovert,Tea
Extrovert,Tea
Extrovert,Tea
Extrovert,Tea
Extrovert,Tea
Introvert,Coffee
Introvert,Coffee
Introvert,Coffee
Introvert,Coffee
Introvert,Coffee
Introvert,Coffee
Introvert,Coffee
Introvert,Tea
Introvert,Tea
Introvert,Tea
Introvert,Tea
Introvert,Tea
Introvert,Tea
Introvert,Tea
Introvert,Tea
Introvert,Tea
Introvert,Tea
Introvert,Tea
