COM_NAME,SPECIES_CODE,Count_yr,SpeciesNumber,NumberByPartyHours,ReportingCounts,ReportingObservers
American Goldfinch,amegfi,1990,3155,1.833,30,47
American Goldfinch,amegfi,1991,1525,0.8707,26,50
American Goldfinch,amegfi,1992,3143,1.875,35,45
American Goldfinch,amegfi,1993,2108,1.1996,30,37
American Goldfinch,amegfi,1994,2665,1.4738,35,47
American Goldfinch,amegfi,1995,2460,1.2915,30,41
American Goldfinch,amegfi,1996,2233,1.2291,38,51
American Goldfinch,amegfi,1997,2201,1.1354,28,54
American Goldfinch,amegfi,1998,3436,1.7604,39,50
American Goldfinch,amegfi,1999,3149,1.5698,35,52
American Goldfinch,amegfi,2000,4563,2.6877,38,53
American Goldfinch,amegfi,2001,4333,1.8561,37,56
American Goldfinch,amegfi,2002,3824,1.6779,42,62
American Goldfinch,amegfi,2003,3427,1.4101,41,60
American Goldfinch,amegfi,2004,4828,2.0912,42,67
American Goldfinch,amegfi,2005,4856,2.0056,44,67
American Goldfinch,amegfi,2006,4174,1.6837,43,69
American Goldfinch,amegfi,2007,4981,1.8724,44,72
American Goldfinch,amegfi,2008,5998,2.659,42,65
American Goldfinch,amegfi,2009,6707,2.8489,47,76
American Goldfinch,amegfi,2010,4807,2.1515,47,69
American Goldfinch,amegfi,2011,4658,1.9358,45,69
American Goldfinch,amegfi,2012,4916,1.6041,60,80
American Goldfinch,amegfi,2013,7469,2.6161,70,57
American Goldfinch,amegfi,2014,4759,1.4687,61,56
American Goldfinch,amegfi,2015,4058,1.2408,63,69
Black-capped Chickadee,bkcchi,1990,9586,5.5692,38,47
Black-capped Chickadee,bkcchi,1991,9219,5.2635,39,50
Black-capped Chickadee,bkcchi,1992,9680,5.7748,38,45
Black-capped Chickadee,bkcchi,1993,12738,7.2488,39,37
Black-capped Chickadee,bkcchi,1994,10543,5.8305,38,47
Black-capped Chickadee,bkcchi,1995,13226,6.9437,39,41
Black-capped Chickadee,bkcchi,1996,9291,5.1141,40,51
Black-capped Chickadee,bkcchi,1997,12478,6.4369,41,54
Black-capped Chickadee,bkcchi,1998,11622,5.9543,41,50
Black-capped Chickadee,bkcchi,1999,12648,6.3051,43,52
Black-capped Chickadee,bkcchi,2000,11253,6.6282,42,53
Black-capped Chickadee,bkcchi,2001,17352,7.433,47,56
Black-capped Chickadee,bkcchi,2002,15917,6.984,45,62
Black-capped Chickadee,bkcchi,2003,17823,7.3337,46,60
Black-capped Chickadee,bkcchi,2004,13478,5.8378,45,67
Black-capped Chickadee,bkcchi,2005,14329,5.918,46,67
Black-capped Chickadee,bkcchi,2006,17569,7.0871,45,69
Black-capped Chickadee,bkcchi,2007,19232,7.2294,49,72
Black-capped Chickadee,bkcchi,2008,12151,5.3867,45,65
Black-capped Chickadee,bkcchi,2009,19376,8.2302,48,76
Black-capped Chickadee,bkcchi,2010,16719,7.483,47,69
Black-capped Chickadee,bkcchi,2011,17551,7.294,48,69
Black-capped Chickadee,bkcchi,2012,20250,6.6075,67,80
Black-capped Chickadee,bkcchi,2013,21552,7.5487,71,57
Black-capped Chickadee,bkcchi,2014,21038,6.4927,72,56
Black-capped Chickadee,bkcchi,2015,23379,7.1488,73,69
Northern Cardinal,norcar,1990,1717,0.9975,25,47
Northern Cardinal,norcar,1991,2116,1.2081,28,50
Northern Cardinal,norcar,1992,1441,0.8597,25,45
Northern Cardinal,norcar,1993,1518,0.8638,27,37
Northern Cardinal,norcar,1994,1772,0.98,26,47
Northern Cardinal,norcar,1995,1595,0.8374,24,41
Northern Cardinal,norcar,1996,2125,1.1697,23,51
Northern Cardinal,norcar,1997,1442,0.7439,25,54
Northern Cardinal,norcar,1998,2130,1.0913,26,50
Northern Cardinal,norcar,1999,1872,0.9332,31,52
Northern Cardinal,norcar,2000,2365,1.393,32,53
Northern Cardinal,norcar,2001,1976,0.8465,34,56
Northern Cardinal,norcar,2002,1915,0.8403,34,62
Northern Cardinal,norcar,2003,2589,1.0653,31,60
Northern Cardinal,norcar,2004,2050,0.8879,34,67
Northern Cardinal,norcar,2005,2653,1.0957,38,67
Northern Cardinal,norcar,2006,2027,0.8177,36,69
Northern Cardinal,norcar,2007,3052,1.1473,41,72
Northern Cardinal,norcar,2008,2642,1.1712,36,65
Northern Cardinal,norcar,2009,3446,1.4637,39,76
Northern Cardinal,norcar,2010,3087,1.3817,36,69
Northern Cardinal,norcar,2011,2110,0.8769,36,69
Northern Cardinal,norcar,2012,3554,1.1597,56,80
Northern Cardinal,norcar,2013,2904,1.0171,54,57
Northern Cardinal,norcar,2014,2287,0.7058,52,56
Northern Cardinal,norcar,2015,2565,0.7843,56,69
