region,breweries,breweriescapita,comsumed,produced,impact,impactcapita
alabama,28,0.8,0.5,61042,616,175.93
alaska,32,6.2,12.5,207369,232,511.8
arizona,86,1.8,0.9,147255,1000,203.79
arkansas,28,1.3,0.5,35846,406,191.1
california,623,2.2,3.7,3295221,7345,262.73
colorado,334,8.4,11.1,1429130,3037,764.34
connecticut,49,1.9,1.5,129825,718,275.77
delaware,19,2.7,11.1,249733,318,456.79
District of Columbia,12,2.3,1.8,30201,235,454.05
florida,195,1.3,2.5,1255112,3074,198.69
georgia,53,0.7,1.7,392002,1596,221.25
Hawaii,14,1.3,1.4,48638,245,233.73
idaho,53,4.6,1.9,71334,366,317.5
illinois,181,2,1.1,337582,2602,283.7
indiana,127,2.7,1.5,225801,1309,280.35
iowa,70,3.2,0.9,61232,861,388.77
kansas,31,1.5,0.8,51542,480,237.88
kentucky,34,1.1,1,102751,657,206.08
louisiana,26,0.8,2,216715,740,222.76
maine,77,7.6,9.7,316953,476,471.45
maryland,65,1.5,2,282593,826,189.76
massachusetts,110,2.2,3.8,611341,1838,366.97
michigan,222,3.1,3.7,846029,2094,292.12
minnesota,112,2.8,4.8,609415,2007,509.3
mississippi,9,0.4,0.4,28876,310,148.33
missouri,78,1.8,2.6,368857,1047,239.39
montana,68,9,7.3,179632,417,549.98
nebraska,42,3.2,1.1,46805,465,351.53
nevada,37,1.7,0.8,52828,434,204.49
new hampshire,54,5.4,3.1,100164,353,356.06
new jersey,82,1.3,0.5,111416,1636,251.54
new mexico,57,3.9,2.3,111237,333,226.26
new york,269,1.9,2.1,1000785,3439,237.59
north carolina,200,2.8,5.4,1269402,2042,280.7
north dakota,10,1.9,0.7,11353,200,375.11
ohio,177,2.1,5.1,1373041,2675,319.41
oklahoma,20,0.7,0.5,47847,502,182.77
oregon,243,8.1,11.8,1149150,1988,659.12
pennsylvania,205,2.2,12.9,3905620,5788,615.77
rhode island,15,1.9,1.1,27075,152,196.43
south carolina,50,1.4,0.9,101194,650,181.11
south dakota,15,2.5,0.5,10029,209,345.81
tennessee,66,1.4,1.6,250247,1135,236.46
texas,201,1.1,1.9,1165579,4540,238.92
utah,27,1.4,3.2,199220,415,214.34
vermont,50,10.8,19.8,295717,309,666.78
virginia,164,2.7,1.3,257645,1373,226.13
washington,334,6.3,2.7,467270,1770,334.6
west virginia,15,1.1,0.3,14682,293,214.74
wisconsin,138,3.3,7.3,974538,2015,484.22
wyoming,23,5.4,2.3,31357,177,418.78
