year,breweries,regional,micro,brewpub
1873,4131,,,
1876,2685,,,
1880,2266,,,
1887,2269,,,
1888,1968,,,
1889,2144,,,
1890,2156,,,
1891,2138,,,
1892,1967,,,
1893,1930,,,
1894,1805,,,
1895,1771,,,
1896,1866,,,
1897,1830,,,
1898,1845,,,
1899,1959,,,
1900,1816,,,
1901,1771,,,
1902,1807,,,
1903,1733,,,
1904,1741,,,
1905,1847,,,
1906,1747,,,
1907,1720,,,
1908,1644,,,
1909,1622,,,
1910,1568,,,
1911,1524,,,
1912,1506,,,
1913,1462,,,
1914,1392,,,
1915,1345,,,
1916,1313,,,
1917,1247,,,
1918,1092,,,
1919,669,,,
1920,0,,,
1921,0,,,
1922,0,,,
1923,0,,,
1924,0,,,
1925,0,,,
1926,0,,,
1927,0,,,
1928,0,,,
1929,0,,,
1930,0,,,
1931,0,,,
1932,0,,,
1933,331,,,
1934,756,,,
1935,766,,,
1936,739,,,
1937,757,,,
1938,700,,,
1939,672,,,
1940,684,,,
1941,857,,,
1942,532,,,
1943,491,,,
1944,480,,,
1945,476,,,
1946,463,,,
1947,421,,,
1948,403,,,
1949,364,,,
1950,350,,,
1951,297,,,
1952,285,,,
1953,272,,,
1954,258,,,
1955,239,,,
1956,227,,,
1957,210,,,
1958,198,,,
1959,193,,,
1960,188,,,
1961,183,,,
1962,178,,,
1963,173,,,
1964,168,,,
1965,163,,,
1966,158,,,
1967,153,,,
1968,148,,,
1969,143,,,
1970,138,,,
1971,133,,,
1972,128,,,
1973,122,,,
1974,116,,,
1975,110,,,
1976,103,,,
1977,96,,,
1978,89,,,
1979,90,,,
1980,92,,,
1981,92,,,
1982,93,,,
1983,93,,,
1984,97,,,
1985,110,,,
1986,124,,,
1987,150,,,
1988,199,,,
1989,247,,,
1990,284,,,
1991,312,,,
1992,359,,,
1993,446,,,
1994,601,16,192,329
1995,858,24,273,497
1996,1149,29,365,693
1997,1396,31,403,900
1998,1514,32,420,1001
1999,1564,36,418,1052
2000,1566,36,405,1068
2001,1545,39,392,1056
2002,1513,40,377,1040
2003,1485,43,376,1011
2004,1468,46,362,1005
2005,1447,49,354,991
2006,1460,50,370,989
2007,1511,55,422,982
2008,1574,62,450,1009
2009,1653,71,505,1020
2010,1813,81,620,1053
2011,2047,88,843,1085
2012,2475,97,1143,1180
2013,2952,119,1471,1308
2014,3780,135,2071,1528
2015,4548,178,2596,1730
2016,5301,186,3132,1916
2017,6000,,,
