year,number_cardinals,number_observers
1960,258,56
1961,553,26
1962,513,32
1963,448,26
1964,431,32
1965,432,31
1966,608,32
1967,505,39
1968,548,28
1969,636,34
1970,903,50
1971,783,54
1972,797,42
1973,1111,35
1974,1070,50
1975,936,54
1976,747,52
1977,720,42
1978,790,52
1979,614,56
1980,751,73
1981,1167,55
1982,732,72
1983,1413,76
1984,1115,68
1985,1386,80
1986,1127,52
1987,1503,47
1988,1574,37
1989,1696,53
1990,1717,47
1991,2116,50
1992,1441,45
1993,1518,37
1994,1772,47
1995,1595,41
1996,2125,51
1997,1442,54
1998,2130,50
1999,1872,52
2000,2365,53
2001,1976,56
2002,1915,62
2003,2589,60
2004,2050,67
2005,2653,67
2006,2027,69
2007,3052,72
2008,2642,65
2009,3446,76
2010,3087,69
2011,2110,69
2012,3554,80
2013,2904,57
2014,2287,56
2015,2565,69
