Year,no_of_teams,G,FG,FGA,FG%,threeP,threePA,threeP%,twoP,twoPA,twoP%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1980,22,82,43.65,90.65,0.48,0.78,2.77,0.2800,42.87,87.87,0.4880,21.27,27.83,0.7640,15.06,29.88,44.94,25.82,9.41,5.3,18.94,24.37,109.3
1981,23,82,42.96,88.43,0.49,0.5,2.02,0.2450,42.46,86.4,0.4910,21.68,28.89,0.7510,14.55,28.94,43.49,25.46,9,5.32,18.74,25.06,108.1
1982,23,82,43.34,88.24,0.49,0.6,2.28,0.2620,42.73,85.95,0.4970,21.3,28.57,0.7460,14.34,29.13,43.48,25.16,8.54,5.37,17.73,26.17,108.6
1983,23,82,43.52,89.66,0.49,0.54,2.26,0.2380,42.99,87.4,0.4920,20.93,28.28,0.7400,14.83,29.63,44.46,25.9,8.89,5.6,19.11,25.65,108.5
1984,23,82,43.49,88.35,0.49,0.6,2.38,0.2500,42.89,85.98,0.4990,22.55,29.68,0.7600,14.2,28.83,43.02,26.2,8.5,5.3,17.9,25.76,110.1
1985,23,82,43.76,89.1,0.49,0.89,3.13,0.2820,42.88,85.96,0.4990,22.43,29.37,0.7640,14.32,29.17,43.49,26.26,8.55,5.32,17.87,24.94,110.8
1986,23,82,43.2,88.63,0.49,0.94,3.34,0.2820,42.26,85.29,0.4950,22.89,30.27,0.7560,14.13,29.43,43.56,26.01,8.79,5.26,17.84,25.21,110.2
1987,23,82,42.65,88.79,0.48,1.43,4.73,0.3010,41.22,84.06,0.4900,23.23,30.46,0.7630,14.7,29.32,44.02,25.98,8.62,5.52,16.99,24.54,109.9
1988,23,82,42.13,87.72,0.48,1.59,5,0.3160,40.56,82.72,0.4900,22.3,29.12,0.7660,14.23,29.16,43.39,25.77,8.51,5.39,16.73,24.11,108.2
1989,25,82,42.46,88.96,0.48,2.11,6.55,0.3230,40.35,82.41,0.4900,22.12,28.82,0.7680,14.5,29.41,43.91,25.57,9.09,5.34,17.22,23.66,109.2
1990,27,82,41.51,87.15,0.48,2.18,6.6,0.3310,39.33,80.55,0.4880,21.78,28.51,0.7640,13.84,29.3,43.15,24.85,8.52,5.06,16.06,23.26,107
1991,27,82,41.35,87.2,0.47,2.28,7.15,0.3200,39.07,80.06,0.4880,21.33,27.89,0.7650,13.99,29.28,43.26,24.74,8.59,5.26,16.04,23.17,106.3
1992,27,82,41.27,87.35,0.47,2.52,7.63,0.3310,38.74,79.72,0.4860,20.24,26.68,0.7590,14.35,29.3,43.67,24.48,8.65,5.51,15.55,22.23,105.3
1993,27,82,40.67,85.95,0.47,3.01,8.95,0.3360,37.66,77,0.4890,20.91,27.72,0.7540,13.79,29.34,43.13,24.71,8.55,5.22,15.91,23.16,105.3
1994,27,82,39.33,84.44,0.47,3.29,9.89,0.3330,36.02,74.55,0.4830,19.56,26.63,0.7340,13.87,29.13,43,24.39,8.88,5.23,16,22.17,101.5
1995,27,82,37.99,81.49,0.47,5.49,15.3,0.3590,32.5,66.18,0.4910,19.94,27.07,0.7370,13.05,28.51,41.56,23.37,8.28,5.16,15.95,23.46,101.4
1996,29,82,37.05,80.18,0.46,5.89,16.05,0.3670,31.16,64.13,0.4860,19.52,26.39,0.7400,12.62,28.63,41.26,22.68,7.98,5.06,15.83,23.05,99.5
1997,29,82,36.07,79.3,0.46,6.05,16.79,0.3600,30.02,62.51,0.4800,18.71,25.34,0.7380,12.67,28.41,41.09,22.05,8.2,4.91,15.67,22.12,96.9
1998,29,82,35.9,79.71,0.45,4.39,12.71,0.3460,31.51,66.99,0.4700,19.37,26.28,0.7370,13.05,28.5,41.55,22.02,8.39,5.07,15.49,22.4,95.6
1999,29,50,34.18,78.2,0.44,4.46,13.16,0.3390,29.72,65.04,0.4570,18.78,25.8,0.7280,12.58,29.06,41.66,20.72,8.36,4.96,15.32,22.22,91.6
2000,29,82,36.83,82.1,0.45,4.84,13.72,0.3530,31.99,68.38,0.4680,18.96,25.28,0.7500,12.41,30.5,42.91,22.34,7.94,5.17,15.48,23.3,97.5
2001,29,82,35.68,80.6,0.44,4.84,13.71,0.3540,30.84,66.89,0.4610,18.59,24.87,0.7480,11.99,30.48,42.46,21.78,7.82,5.26,15.05,22.35,94.8
2002,29,82,36.17,81.27,0.45,5.22,14.74,0.3540,30.95,66.52,0.4650,17.93,23.82,0.7520,12.23,30.17,42.4,21.93,7.79,5.22,14.46,21.23,95.5
2003,29,82,35.72,80.78,0.44,5.13,14.68,0.3490,30.59,66.11,0.4630,18.51,24.44,0.7580,12.05,30.26,42.3,21.5,7.94,5.01,14.91,21.76,95.1
2004,29,82,35.01,79.82,0.44,5.18,14.93,0.3470,29.83,64.89,0.4600,18.2,24.21,0.7520,12.09,30.11,42.21,21.3,7.93,5.06,14.98,21.45,93.4
2005,30,82,35.95,80.34,0.45,5.6,15.76,0.3560,30.35,64.59,0.4700,19.7,26.06,0.7560,12.01,29.85,41.85,21.28,7.51,4.87,14.5,22.63,97.2
2006,30,82,35.84,78.99,0.45,5.73,15.98,0.3580,30.11,63.01,0.4780,19.6,26.3,0.7450,11.17,29.78,40.95,20.61,7.17,4.7,14.41,22.76,97
2007,30,82,36.52,79.71,0.46,6.07,16.94,0.3580,30.46,62.77,0.4850,19.61,26.07,0.7520,11.12,29.93,41.05,21.29,7.24,4.61,15.13,22.22,98.7
2008,30,82,37.27,81.5,0.46,6.55,18.11,0.3620,30.71,63.4,0.4840,18.84,24.94,0.7550,11.2,30.78,41.98,21.76,7.28,4.73,14.11,21.02,99.9
2009,30,82,37.12,80.91,0.46,6.65,18.12,0.3670,30.48,62.79,0.4850,19.07,24.74,0.7710,11.04,30.26,41.29,20.98,7.27,4.8,14.04,21.05,100
2010,30,82,37.7,81.71,0.46,6.43,18.13,0.3550,31.27,63.56,0.4920,18.62,24.55,0.7590,10.96,30.77,41.72,21.24,7.22,4.85,14.22,20.85,100.4
2011,30,82,37.24,81.22,0.46,6.46,18.01,0.3580,30.79,63.21,0.4870,18.6,24.37,0.7630,10.91,30.48,41.39,21.5,7.33,4.87,14.26,20.71,99.6
2012,30,66,36.47,81.42,0.45,6.41,18.38,0.3490,30.06,63.05,0.4770,16.91,22.45,0.7520,11.36,30.8,42.18,20.97,7.68,5.09,14.58,19.56,96.3
2013,30,82,37.11,81.95,0.45,7.16,19.95,0.3590,29.95,62.01,0.4830,16.7,22.17,0.7530,11.16,30.94,42.11,22.12,7.79,5.13,14.54,19.83,98.1
2014,30,48,37.58,83.27,0.45,7.58,21.25,0.3580,29.98,62.02,0.4820,17.73,23.52,0.7540,11.04,32.15,43.19,21.79,7.71,4.85,14.88,20.77,100.46
